127.0.0.1 - - [13/Oct/2023:10:04:31 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:32 +0700] "GET /ASM-PS24083/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/lytieulongfilm.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/Therockfilm.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/views/img/avt.png HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/latmatfilm.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/phimthai.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/phimhan.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/thu6ngay13film.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/index HTTP/1.1" 500 24316
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/mama.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/tthvtcx.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/mathai.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/views/css/Style.css HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/batmanandsuperman.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/it.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/macbiet.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/nowayhome.jpg HTTP/1.1" 500 642
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/schoolghost.png HTTP/1.1" 500 24316
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:04:59 +0700] "GET /ASM-PS24083/images/scarletswitch.jpg HTTP/1.1" 500 24316
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:05:00 +0700] "GET /ASM-PS24083/images/avatar2.png HTTP/1.1" 500 24316
0:0:0:0:0:0:0:1 - - [13/Oct/2023:10:05:00 +0700] "GET /ASM-PS24083/images/farytail.jpe HTTP/1.1" 200 29575
