127.0.0.1 - - [23/Mar/2024:19:47:01 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:05 +0700] "GET /LAB4-PS24083/Management HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:05 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:18 +0700] "POST /LAB4-PS24083/Management HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:20 +0700] "GET /LAB4-PS24083/Management HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:44 +0700] "GET /LAB4-PS24083/bai4 HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:44 +0700] "GET /LAB4-PS24083/imgs/ipad.png HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:44 +0700] "GET /LAB4-PS24083/imgs/iphone14.png HTTP/1.1" 200 133434
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:44 +0700] "GET /LAB4-PS24083/imgs/macebook.png HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:44 +0700] "GET /LAB4-PS24083/imgs/ipad.png HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:44 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:51 +0700] "GET /LAB4-PS24083/loai3? HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:51 +0700] "GET /LAB4-PS24083/imgs/ipad.png HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:52 +0700] "GET /LAB4-PS24083/loai2? HTTP/1.1" 200 5957
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:52 +0700] "GET /LAB4-PS24083/imgs/macebook.png HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:54 +0700] "GET /LAB4-PS24083/loai3? HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:54 +0700] "GET /LAB4-PS24083/imgs/ipad.png HTTP/1.1" 404 707
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:56 +0700] "GET /LAB4-PS24083/loai2? HTTP/1.1" 200 9281
0:0:0:0:0:0:0:1 - - [23/Mar/2024:19:47:56 +0700] "GET /LAB4-PS24083/imgs/macebook.png HTTP/1.1" 404 711
